,St,EMAt1,EMAt2,Vt1,Vt2,RSIt1,RSIt2,RSIt3,BBt1,BBt2,MACDt1,MACDt2,CMFt1,CMFt2
1,1369.09,1361.912357,1359.303992,2417001,2318251,59.52942266,58.60803336,56.56905653,1354.1905,1353.2685,3.080442702,1.986277127,0.045303893,0.067560411
2,1356.11,1363.217383,1361.912357,2050342,2417001,56.73571973,59.52942266,58.60803336,1355.4465,1354.1905,3.53882949,3.080442702,0.063149308,0.045303893
3,1364.55,1361.925132,1363.217383,1597190,2050342,49.60018704,56.73571973,59.52942266,1355.2505,1355.4465,2.822194301,3.53882949,0.012516364,0.063149308
4,1374.35,1362.40238,1361.925132,2557891,1597190,53.67957323,49.60018704,56.73571973,1354.9065,1355.2505,2.901842579,2.822194301,0.021431505,0.012516364
5,1383.73,1364.574675,1362.40238,2332519,2557891,57.93688664,53.67957323,49.60018704,1355.0535,1354.9065,3.712942027,2.901842579,0.049505014,0.021431505
6,1383.88,1368.057461,1364.574675,2183462,2332519,61.57700673,57.93688664,53.67957323,1355.529,1355.0535,5.054368182,3.712942027,0.093794376,0.049505014
7,1379.19,1370.934286,1368.057461,2153189,2183462,61.63418511,61.57700673,57.93688664,1357.123,1355.529,6.059709263,5.054368182,0.138957514,0.093794376
8,1387.44,1372.435325,1370.934286,2095608,2153189,58.69318799,61.63418511,61.57700673,1360.1125,1357.123,6.404182085,6.059709263,0.227115794,0.138957514
9,1380.07,1375.163448,1372.435325,2130635,2095608,62.11752917,58.69318799,61.63418511,1363.066,1360.1125,7.259205725,6.404182085,0.210379728,0.227115794
10,1399.44,1376.055548,1375.163448,1976704,2130635,57.52932386,62.11752917,58.69318799,1365.795,1363.066,7.258449822,7.259205725,0.166190295,0.210379728
11,1395.73,1380.307267,1376.055548,1975351,1976704,64.87304239,57.52932386,62.11752917,1369.178,1365.795,8.720325399,7.258449822,0.20198581,0.166190295
12,1396.69,1383.1114,1380.307267,1685121,1975351,62.63895417,64.87304239,57.52932386,1371.5345,1369.178,9.470338168,8.720325399,0.230097298,0.20198581
14,1412.54,1389.542012,1385.580236,2053713,1786082,66.77752568,62.99408568,62.63895417,1376.3365,1373.533,11.20014173,10.02661212,0.271863179,0.229997504
15,1410.75,1393.723464,1389.542012,2367465,2053713,68.45865049,66.77752568,62.99408568,1379.2505,1376.3365,12.40435846,11.20014173,0.258468977,0.271863179
16,1412.22,1396.819198,1393.723464,2592769,2367465,67.19092342,68.45865049,66.77752568,1382.085,1379.2505,13.06368087,12.40435846,0.232152847,0.258468977
17,1402.21,1399.619344,1396.819198,2503830,2592769,67.71959431,67.19092342,68.45865049,1384.484,1382.085,13.54863512,13.06368087,0.210348731,0.232152847
19,1422.54,1401.146668,1400.090372,2772880,2325307,62.15097325,60.56309136,67.71959431,1388.317,1386.347,12.6732469,12.97566611,0.241563277,0.16296478
20,1419.23,1405.036365,1401.146668,2471674,2772880,68.34137719,62.15097325,60.56309136,1390.8725,1388.317,13.61929171,12.6732469,0.285139519,0.241563277
21,1421.73,1407.617026,1405.036365,2375477,2471674,66.02797262,68.34137719,62.15097325,1393.1515,1390.8725,13.94124373,13.61929171,0.279908182,0.285139519
22,1425.13,1410.183021,1407.617026,3146231,2375477,66.93828396,66.02797262,68.34137719,1395.7835,1393.1515,14.23404096,13.94124373,0.321106585,0.279908182
23,1411.47,1412.900654,1410.183021,2979357,3146231,68.18681469,66.93828396,66.02797262,1399.2345,1395.7835,14.57245428,14.23404096,0.391609398,0.321106585
24,1422.55,1412.640535,1412.900654,2523521,2979357,58.61036113,68.18681469,66.93828396,1401.5805,1399.2345,13.58183846,14.57245428,0.366468187,0.391609398
25,1432.21,1414.442256,1412.640535,2542739,2523521,63.13322203,58.61036113,68.18681469,1403.9905,1401.5805,13.53481081,13.58183846,0.37936581,0.366468187
26,1434.36,1417.672755,1414.442256,2521917,2542739,66.56375174,63.13322203,58.61036113,1406.4145,1403.9905,14.11432122,13.53481081,0.34436122,0.37936581
28,1420.59,1421.752836,1420.706799,1972792,2311041,61.94543023,67.2932256,66.56375174,1411.302,1408.9385,14.1467521,14.57901659,0.257942627,0.341110567
29,1413.73,1421.541411,1421.752836,3008274,1972792,58.24174952,61.94543023,67.2932256,1412.9595,1411.302,13.17860468,14.1467521,0.210916057,0.257942627
31,1390.43,1418.33549,1420.121155,2374068,2375463,52.19888529,54.16587567,58.24174952,1415.1855,1414.6425,10.17476099,11.72266462,0.194766788,0.255795491
32,1390.73,1413.261765,1418.33549,2216689,2374068,42.55747161,52.19888529,54.16587567,1414.9205,1415.1855,7.260993069,10.17476099,0.173562603,0.194766788
